bill_id,state_abbr,bill_number,title,status,last_action_date,last_action,url,matched_term
2134379,NJ,A4768,"""Social Media Fairness and Transparency Act""; establishes requirements for social media companies concerning content moderation practices; establishes cause of action against social media companies for violation of content moderation practices.",In Committee,2026-03-19,"Introduced, Referred to Assembly Science, Innovation and Technology Committee",https://legiscan.com/NJ/bill/A4768/2026,punitive damages cap
2076642,NJ,S1388,Prohibits health club services contracts from limiting liability for injuries caused by negligence of health club.,In Committee,2026-02-24,"Received in the Assembly, Referred to Assembly Judiciary Committee",https://legiscan.com/NJ/bill/S1388/2026,punitive damages cap
2103517,NJ,S3315,Clarifies that punitive damages may not be awarded against public entities or public employees acting within the scope of their employment in any action.,In Committee,2026-02-05,"Introduced in the Senate, Referred to Senate Judiciary Committee",https://legiscan.com/NJ/bill/S3315/2026,punitive damages cap
2098151,NJ,A3189,Prohibits wrongful life and wrongful birth suits.,In Committee,2026-01-13,"Introduced, Referred to Assembly Judiciary Committee",https://legiscan.com/NJ/bill/A3189/2026,tort reform
2075497,NJ,S3120,Repeals no-fault automobile insurance law and requires mandatory liability insurance law for motor vehicles.,In Committee,2026-01-13,"Introduced in the Senate, Referred to Senate Commerce Committee",https://legiscan.com/NJ/bill/S3120/2026,tort reform
2075019,NJ,S2295,Disallows tax deduction under corporation business tax and gross income tax for punitive damages paid in connection with legal action; includes amount paid as punitive damages on behalf of taxpayer in income for tax purposes.,In Committee,2026-01-13,"Introduced in the Senate, Referred to Senate Judiciary Committee",https://legiscan.com/NJ/bill/S2295/2026,punitive damages cap
2099186,NJ,A607,Expands crime of bias intimidation; establishes additional penalties for crimes of bias intimidation and harassment; establishes bias intimidation motivation damages.,In Committee,2026-01-13,"Introduced, Referred to Assembly Judiciary Committee",https://legiscan.com/NJ/bill/A607/2026,punitive damages cap
2096366,NJ,A2118,Prohibits self-service storage facilities from charging certain punitive fees to consumers paying with vouchers under certain circumstances.,In Committee,2026-01-13,"Introduced, Referred to Assembly Consumer Affairs Committee",https://legiscan.com/NJ/bill/A2118/2026,punitive damages cap
2096948,NJ,A2530,Creates a civil cause of action for stalking.,In Committee,2026-01-13,"Introduced, Referred to Assembly Judiciary Committee",https://legiscan.com/NJ/bill/A2530/2026,punitive damages cap
2098538,NJ,A2488,"Defines conduct which constitutes voter disenfranchisement and establishes penalties therefor; authorizes private cause of action for voter disenfranchisement; creates Independent Election Oversight Committee; establishes public awareness campaign on voting rights; appropriates $100,000.",In Committee,2026-01-13,"Introduced, Referred to Assembly State and Local Government Committee",https://legiscan.com/NJ/bill/A2488/2026,punitive damages cap
2095859,NJ,A2113,Prohibits health club services contracts from limiting liability for injuries caused by negligence of health club.,In Committee,2026-01-13,"Introduced, Referred to Assembly Judiciary Committee",https://legiscan.com/NJ/bill/A2113/2026,punitive damages cap
2075824,NJ,S861,Establishes certain requirements for social media websites concerning content moderation practices; establishes cause of action against social media websites for violation of content moderation practices.,In Committee,2026-01-13,"Introduced in the Senate, Referred to Senate Commerce Committee",https://legiscan.com/NJ/bill/S861/2026,punitive damages cap
2075784,NJ,S1939,"""Personal Injury Trust Fund Transparency Act;"" requires plaintiff to file personal injury trust claims under certain circumstances; addresses allocation of trust claims; establishes scheduling and discovery requirements for certain tort actions.",In Committee,2026-01-13,"Introduced in the Senate, Referred to Senate Judiciary Committee",https://legiscan.com/NJ/bill/S1939/2026,punitive damages cap
2088881,NY,A10007,"Enacts into law major components of legislation necessary to implement the state health and mental hygiene budget for the 2026-2027 state fiscal year; extends provisions requiring the quarterly assessment of known and projected department of health state fund Medicaid expenditures (Part A); extends certain health provisions (Part B); extends certain provisions of law relating to the health care reform act; extends provisions relating to the distribution of pool allocations and graduate medical education; extends provisions relating to health care initiative pool distributions; extends payment provisions for general hospitals; extends provisions relating to assessments on covered lives; extends the personal care services worker recruitment and retention program (Part C); relates to insurance coverage for medical malpractice paid for by funds from the hospital excess liability pool; extends portions of the New York Health Care Reform Act of 1996 (Part D); makes technical corrections to certain provisions of law relating to the New York State Dental Foundation and other provisions of law (Part F); relates to automated external defibrillators (AEDs) (Part G); extends certain provisions relating to payments from the New York state medical indemnity fund (Part I); relates to temporary health care services agencies and protecting individuals engaged to provide health care services by such agencies (Part J); restores capital rate reductions for nursing homes (Part L); limits the amount payable for certain services provided to certain eligible persons who are also beneficiaries under part B of title XVII of the federal social security act or are also qualified Medicare beneficiaries; clarifies Medicaid requirements for biomarker testing (Part M); relates to hospital and nursing home fee-for-service reimbursement rates and reductions in hospital capital rate add-ons (Part O); directs the commissioners of the office of mental health, office for people with developmental disabilities, office of addiction services and supports, office of temporary and disability assistance, office of children and family services and the director of the state office for the aging to establish a state fiscal year 2026-2027 targeted inflationary increase for projecting for the effects of inflation upon rates of payments, contracts, or any other form of reimbursement for certain programs and services; requires such commissioners and director to provide funding to support a 2.7% targeted inflationary increase for such programs and services (Part P); changes ""substance use"" to substance-related and addictive disorder claims for purposes of the insurance law and public health law (Part R); relates to the effectiveness of provisions of law relating to Medicaid management; removes certain provisions providing for lower minimum amounts of certain state aid for the city of New York than the rest of the state (Part T); extends certain government rates for behavioral services referencing the office of addiction services and supports and relates to the effectiveness thereof (Part U); relates to the effectiveness of certain provisions of law relating to the closure or transfer of a state-operated individualized residential alternative (Part V); extends the care demonstration program (Part W); relates to medical assistance for needy persons age sixty-five or older and who are eligible for medical assistance but for their immigration status through the fee-for-service program (Part X); provides for an amended New York managed care organization provider tax at a rate of 0.35% effective January 1, 2027 (Part Y); provides that services provided in school-based health centers shall not be provided to medical assistance recipients through managed care programs (Part Z); extends provisions of law relating to reimbursement rates for medically fragile children and pediatric diagnostic and treatment centers (Part AA); amends provisions for dispute resolution for emergency services and surprise bills; provides for benchmarking of amounts allowed for health care services provider in the same or similar specialty and provided in the same geographical area (Part BB).",Enacted,2026-05-28,signed chap.57,https://legiscan.com/NY/bill/A10007/2025,joint and several liability reform
