state_abbr,county_name,venue_rating,fips
CA,Glenn,Neutral,06021
CA,Humboldt,Defense,06023
CA,Imperial,Neutral,06025
CA,Inyo,Neutral,06027
CA,Kern,Neutral,06029
CA,Kings,Neutral,06031
CA,Lake,Neutral,06033
CA,Lassen,Defense,06035
CA,Los Angeles,Plaintiff,06037
CA,Madera,Neutral,06039
CA,Marin,Plaintiff,06041
CA,Mariposa,Defense,06043
CA,Mendocino,Defense,06045
CA,Merced,Defense,06047
CA,Modoc,Neutral,06049
CA,Mono,Neutral,06051
CA,Monterey,Defense,06053
CA,Napa,Neutral,06055
CA,Nevada,Neutral,06057
CA,Orange,Defense,06059
CA,Placer,Defense,06061
CA,Plumas,Neutral,06063
CA,Riverside,Plaintiff,06065
CA,Sacramento,Neutral,06067
CA,San Benito,Defense,06069
CA,San Bernardino,Neutral,06071
CA,San Diego,Neutral,06073
CA,San Francisco,Plaintiff,06075
CA,San Joaquin,Neutral,06077
CA,San Luis Obispo,Defense,06079
CA,San Mateo,Neutral,06081
CA,Santa Barbara,Defense,06083
CA,Santa Clara,Defense,06085
CA,Santa Cruz,Plaintiff,06087
CA,Shasta,Neutral,06089
CA,Sierra,Neutral,06091
CA,Siskiyou,Neutral,06093
CA,Solano,Neutral,06095
CA,Sonoma,Defense,06097
CA,Stanislaus,Defense,06099
CA,Sutter,Defense,06101
CA,Tehama,Neutral,06103
CA,Trinity,Neutral,06105
CA,Tulare,Neutral,06107
CA,Tuolumne,Neutral,06109
CA,Ventura,Defense,06111
CA,Yolo,Defense,06113
CA,Yuba,Neutral,06115
CO,Adams,Neutral,08001
CO,Alamosa,Neutral,08003
CO,Arapahoe,Defense,08005
CO,Archuleta,Defense,08007
CO,Baca,Defense,08009
CO,Bent,Defense,08011
CO,Boulder,Plaintiff,08013
CO,Broomfield,Defense,08014
CO,Chaffee,Defense,08015
CO,Cheyenne,Defense,08017
CO,Clear Creek,Defense,08019
CO,Conejos,Defense,08021
CO,Costilla,Defense,08023
CO,Crowley,Defense,08025
CO,Custer,Defense,08027
CO,Delta,Defense,08029
CO,Denver,Plaintiff,08031
CO,Dolores,Defense,08033
CO,Douglas,Neutral,08035
CO,Eagle,Defense,08037
CO,Elbert,Defense,08039
CO,El Paso,Defense,08041
CO,Fremont,Defense,08043
CO,Garfield,Defense,08045
CO,Gilpin,Defense,08047
CO,Grand,Defense,08049
CO,Gunnison,Defense,08051
CO,Hinsdale,Defense,08053
CO,Huerfano,Neutral,08055
CO,Jackson,Defense,08057
CO,Jefferson,Neutral,08059
CO,Kiowa,Defense,08061
CO,Kit Carson,Defense,08063
CO,Lake,Defense,08065
CO,La Plata,Defense,08067
CO,Larimer,Neutral,08069
CO,Las Animas,Defense,08071
CO,Lincoln,Defense,08073
CO,Logan,Defense,08075
CO,Mesa,Defense,08077
CO,Mineral,Defense,08079
CO,Moffat,Defense,08081
CO,Montezuma,Neutral,08083
CO,Montrose,Defense,08085
CO,Morgan,Defense,08087
CO,Otero,Defense,08089
CO,Ouray,Defense,08091
CO,Park,Defense,08093
CO,Phillips,Defense,08095
CO,Pitkin,Plaintiff,08097
CO,Prowers,Defense,08099
