state_abbr,county_name,venue_rating
CA,Tuolumne,Neutral
CA,Ventura,Defense
CA,Yolo,Defense
CA,Yuba,Neutral
CO,Adams,Neutral
CO,Alamosa,Neutral
CO,Arapahoe,Defense
CO,Archuleta,Defense
CO,Baca,Defense
CO,Bent,Defense
CO,Boulder,Plaintiff
CO,Broomfield,Defense
CO,Chaffee,Defense
CO,Cheyenne,Defense
CO,Clear Creek,Defense
CO,Conejos,Defense
CO,Costilla,Defense
CO,Crowley,Defense
CO,Custer,Defense
CO,Delta,Defense
CO,Denver,Plaintiff
CO,Dolores,Defense
CO,Douglas,Neutral
CO,Eagle,Defense
CO,Elbert,Defense
CO,El Paso,Defense
CO,Fremont,Defense
CO,Garfield,Defense
CO,Gilpin,Defense
CO,Grand,Defense
CO,Gunnison,Defense
CO,Hinsdale,Defense
CO,Huerfano,Neutral
CO,Jackson,Defense
CO,Jefferson,Neutral
CO,Kiowa,Defense
CO,Kit Carson,Defense
CO,Lake,Defense
CO,La Plata,Defense
CO,Larimer,Neutral
CO,Las Animas,Defense
CO,Lincoln,Defense
CO,Logan,Defense
CO,Mesa,Defense
CO,Mineral,Defense
CO,Moffat,Defense
CO,Montezuma,Neutral
CO,Montrose,Defense
CO,Morgan,Defense
CO,Otero,Defense
CO,Ouray,Defense
CO,Park,Defense
CO,Phillips,Defense
CO,Pitkin,Plaintiff
CO,Prowers,Defense
CO,Pueblo,Plaintiff
CO,Rio Blanco,Defense
CO,Rio Grande,Defense
CO,Routt,Defense
CO,Saguache,Defense
CO,San Juan,Defense
CO,San Miguel,Defense
CO,Sedgwick,Defense
CO,Summit,Defense
CO,Teller,Defense
CO,Washington,Defense
CO,Weld,Neutral
CO,Yuma,Defense
CT,Bridgeport (Fairfield Judicial District),Plaintiff
CT,Danbury,Defense
CT,Hartford,Neutral
CT,Litchfield Judicial District (Torrington),Defense
CT,Middlesex,Neutral
CT,New Haven,Neutral
CT,New London,Plaintiff
CT,Norwalk (Stamford/ Norwalk Judicial District),Neutral
CT,Tolland,Defense
CT,Windham,Defense
CT,New Britain Judicial District,Neutral
CT,Waterbury Judicial District,Plaintiff
CT,Norwich ( New London Judicial District),Plaintiff
CT,Meriden (Middlesex Judicial District,Neutral
CT,Ansonia/Milford Judicial District,Neutral
DC,DC,Defense
DE,Kent,Plaintiff
DE,New Castle,Defense
DE,Sussex,Neutral
FL,Alachua,Neutral
FL,Baker,Neutral
FL,Bay,Defense
FL,Bradford,Defense
FL,Brevard,Plaintiff
FL,Broward,Plaintiff
FL,Calhoun,Defense
FL,Charlotte,Defense
FL,Citrus,Neutral
FL,Clay,Neutral
FL,Collier,Neutral
FL,Columbia,Neutral
FL,Dade,Plaintiff
FL,DeSoto,Neutral
FL,Dixie,Neutral
FL,Duval,Plaintiff
FL,Escambia,Neutral
FL,Flagler,Neutral
FL,Franklin,Defense
FL,Gadsden,Plaintiff
FL,Gilchrist,Neutral
FL,Glades,Neutral
FL,Gulf,Defense
FL,Hamilton,Defense
FL,Hardee,Defense
FL,Hendry,Defense
FL,Hernando,Neutral
FL,Highlands,Neutral
FL,Hillsborough,Neutral
FL,Holmes,Neutral
FL,Indian River,Neutral
FL,Jackson,Neutral
FL,Jefferson,Defense
FL,Lafayette,Neutral
FL,Lake,Defense
FL,Lee,Neutral
FL,Leon,Neutral
FL,Levy,Defense
FL,Liberty,Defense
FL,Madison,Defense
FL,Manatee,Defense
FL,Marion,Neutral
FL,Martin,Plaintiff
FL,Monroe,Plaintiff
FL,Nassau,Plaintiff
FL,Okaloosa,Neutral
FL,Okeechobee,Neutral
FL,Orange,Plaintiff
FL,Osceola,Plaintiff
FL,Palm Beach,Plaintiff
FL,Pasco,Defense
FL,Pinellas,Neutral
FL,Polk,Neutral
FL,Putnam,Neutral
FL,St. Johns,Neutral
FL,St. Lucie,Neutral
FL,Santa Rosa,Neutral
FL,Sarasota,Neutral
FL,Seminole,Neutral
FL,Sumter,Defense
FL,Suwannee,Neutral
FL,Taylor,Neutral
FL,Union,Defense
FL,Volusia,Neutral
FL,Wakulla,Defense
FL,Walton,Defense
FL,Washington,Defense
GA,Appling,Neutral
GA,Atkinson,Neutral
GA,Bacon,Neutral
GA,Baker,Neutral
GA,Baldwin,Neutral
GA,Banks,Neutral
GA,Barrow,Plaintiff
GA,Bartow,Plaintiff
GA,Ben Hill,Neutral
GA,Berrien,Neutral
GA,Bibb,Plaintiff
GA,Bleckley,Neutral
GA,Brantley,Neutral
GA,Brooks,Neutral
GA,Bryan,Neutral
GA,Bulloch,Plaintiff
GA,Burke,Neutral
GA,Butts,Neutral
GA,Calhoun,Neutral
GA,Camden,Plaintiff
GA,Candler,Neutral
GA,Carroll,Plaintiff
GA,Catoosa,Plaintiff
GA,Charlton,Neutral
GA,Chatham,Plaintiff
GA,Chattahoochee,Plaintiff
GA,Chattooga,Neutral
GA,Cherokee,Defense
GA,Clarke,Plaintiff
GA,Clay,Neutral
GA,Clayton,Plaintiff
GA,Clinch,Neutral
GA,Cobb,Plaintiff
GA,Coffee,Neutral
GA,Colquitt,Neutral
GA,Columbia,Neutral
GA,Cook,Neutral
GA,Coweta,Plaintiff
GA,Crawford,Neutral
GA,Crisp,Defense
GA,Dade,Plaintiff
GA,Dawson,Defense
GA,De Kalb,Plaintiff
GA,Decatur,Plaintiff
GA,Dodge,Plaintiff
GA,Dooly,Plaintiff
GA,Dougherty,Plaintiff
GA,Douglas,Plaintiff
GA,Early,Neutral
GA,Echols,Neutral
GA,Effingham,Plaintiff
GA,Elbert,Neutral
GA,Emanuel,Neutral
GA,Evans,Neutral
GA,Fannin,Defense
GA,Fayette,Plaintiff
GA,Floyd,Plaintiff
GA,Forsyth,Neutral
GA,Franklin,Neutral
GA,Fulton,Plaintiff
GA,Gilmer,Plaintiff
GA,Glascock,Neutral
GA,Glynn,Plaintiff
GA,Gordon,Plaintiff
GA,Grady,Plaintiff
GA,Greene,Defense
GA,Gwinnett,Plaintiff
GA,Habersham,Plaintiff
GA,Hall,Plaintiff
GA,Hancock,Neutral
GA,Haralson,Plaintiff
